frequency,count,output_file_count,starting_word_index
9,508,508,0
8,1884,633,508
7,1768,501,1141
6,1730,584,1642
5,1736,365,2226
4,1662,417,2591
3,1591,174,3008
2,576,97,3182
1,33,25,3279
